x,y,temperature
-0.005042739395694844,-0.013305613147637455,
1.0314284245192038,-0.028772756074711657,300.0660705566406
2.0848803123422854,-0.09460609130035143,298.2314453125
3.11034050952464,-0.1669726520103584,293.6734924316406
2.9662562834162602,-1.1814795362580133,301.0013122558594
2.7918523238050157,-2.213439272689078,311.8740234375
2.7356273292368893,-3.2303748312204963,303.9732971191406
2.7830289724355817,-4.263234800843961,291.0406799316406
2.797810722530208,-5.299279223905602,295.1949157714844
3.3441299291941466,-6.1887551450683596,291.2042541503906
2.318082659223113,-6.407000687526252,289.8798522949219
